epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,355,1137.971830985916,248,2848,1,0,53543,0.000158787,0,0,5.510261,5.51018,9074.113731311863
1,train,250000,1837,1118.7566684812186,104,4028,0.7506259975,250000,321973,47.6261,141.50962007709123,62500,658.864363,653.3004480000001,382.67232291871926
1,test,125000,59,1600.2711864406783,348,3548,0.00125,250000,447578,48.3193,0,62500,864.826878,205.84492699999998,607.2532455463428
2,train,250000,1651,1373.904300423985,116,5220,0.5012509975,500000,714049,93.3895,64.062358743240878,125000,1614.753927,749.9249599999999,333.3666877816682
2,test,125000,81,1910.4691358024688,472,6348,0.00125,500000,839892,92.7307,0,125000,1821.860313,206.98484499999995,603.9089480198419
3,train,250000,1408,1728.4289772727273,264,5328,0.2518759974999999,750000,1000000,144.742,57.514915216957107,187500,2658.892455,837.0302490000001,298.6749885068968
3,test,125000,57,2165.052631578947,812,5452,0.00125,750000,1000000,144.906,0,187500,2865.371489,206.3614660000003,605.7332428526158
4,train,250000,1153,2132.4648742411105,264,7116,0.0025009974999999907,1000000,1000000,219.327,57.782817346641423,250000,3801.502042,936.128647,267.0573118354747
4,test,125000,67,2638.268656716418,648,7600,0.00125,1000000,1000000,219.924,0,250000,4009.459897,207.83903200000032,601.4269735436403
5,train,250000,724,2606.6740331491706,388,7284,0.0025,1250000,1000000,304.519,58.684101449193903,312500,4998.135384,988.6735240000003,252.8640586920379
5,test,125000,105,2554.9333333333325,540,6692,0.00125,1250000,1000000,298.532,0,312500,5200.546484,202.29161700000077,617.9198221545657
6,train,250000,681,2894.361233480175,268,10220,0.0025,1500000,1000000,335.472,53.17852675672934,375000,6170.577603,970.0292300000001,257.72419249675596
6,test,125000,63,3064.0,616,6224,0.00125,1500000,1000000,334.273,0,375000,6374.324026,203.62900799999989,613.8614592671397
7,train,250000,653,3319.8897396630896,540,11908,0.0025,1750000,1000000,362.574,48.092572788482968,437500,7343.425836,969.0999180000008,257.9713354180676
7,test,125000,220,3595.036363636365,700,10512,0.00125,1750000,1000000,363.443,0,437500,7547.708381,204.16500200000064,612.2498899199169
8,train,250000,456,3868.5877192982466,436,12060,0.0025,2000000,1000000,395.553,54.211646840305264,500000,8601.740699000002,1054.0304510000005,237.18479837353377
8,test,125000,49,3863.428571428571,424,9772,0.00125,2000000,1000000,404.793,0,500000,8804.367892,202.50964699999895,617.2545449155845
9,train,250000,526,4181.543726235743,824,14052,0.0025,2250000,1000000,479.22,49.70637983184583,562500,9770.717351000001,966.3475820000003,258.70608532241346
9,test,125000,77,3624.3116883116872,324,8080,0.00125,2250000,1000000,474.214,0,562500,9973.121261,202.2862100000002,617.9363388141974
10,train,250000,566,4353.038869257945,576,14056,0.0025,2500000,1000000,514.888,51.433435098210353,625000,10938.579412000001,965.4562939999996,258.94491708601373
10,test,125000,237,4628.4725738396655,696,14976,0.00125,2500000,1000000,509.366,0,625000,11141.673961,202.9770150000004,615.8332755065876
11,train,250000,483,5098.691511387156,948,17072,0.0025,2750000,1000000,495.383,60.895862752856274,687500,12107.229651000001,965.5538130000004,258.91876416835186
11,test,125000,38,8245.36842105263,1748,16424,0.00125,2750000,1000000,507.583,0,687500,12309.307545000001,201.96078900000066,618.9320244733228
12,train,250000,417,5773.592326139086,312,17020,0.0025,3000000,1000000,635.525,61.185679695640957,750000,13274.431103,965.121681999999,259.0346944459178
12,test,125000,30,5393.599999999999,968,14404,0.00125,3000000,1000000,649.97,0,750000,13476.793529,202.2452089999988,618.0616125250252
13,train,250000,463,5956.812095032398,56,17908,0.0025,3250000,1000000,626.532,55.622825076223613,812500,14442.206953,965.4115149999998,258.95692781331707
13,test,125000,94,4606.3829787234035,876,10684,0.00125,3250000,1000000,630.595,0,812500,14644.539254000001,202.2141329999995,618.1565954146257
14,train,250000,435,5907.733333333333,560,16912,0.0025,3500000,1000000,789.38,59.611550703429415,875000,15609.2085,964.6673919999994,259.1566814357504
14,test,125000,47,5210.723404255319,1744,13480,0.00125,3500000,1000000,780.374,0,875000,15811.477027,202.15032799999972,618.3517050736626
15,train,250000,422,6291.649289099528,1020,24808,0.0025,3750000,1000000,772.879,61.137449587499823,937500,16777.069515,965.5906459999987,258.9088875660052
15,test,125000,175,5717.531428571427,1284,13852,0.00125,3750000,1000000,773.953,0,937500,16980.299594,203.1133329999975,615.4199635924517
16,train,250000,449,6628.570155902001,1284,26344,0.0025,4000000,1000000,842.608,63.493782036849069,1000000,17946.057927,965.7564569999995,258.8644354256698
16,test,125000,56,6155.5,928,12244,0.00125,4000000,1000000,844.553,0,1000000,18149.032456,202.85602500000095,616.2005787109326
17,train,250000,386,7607.430051813467,1124,33780,0.0025,4250000,1000000,863.707,71.205460535687607,1062500,19113.297851,964.2635309999969,259.26522362692236
17,test,125000,100,6932.44,1368,17144,0.00125,4250000,1000000,863.282,0,1062500,19315.322978,201.9074789999977,619.0954422248094
18,train,250000,379,6732.41160949868,244,22400,0.0025,4500000,1000000,935.443,74.649378797628586,1125000,20279.077572000002,963.7527279999995,259.40263797624254
18,test,125000,74,7969.783783783784,1444,27252,0.00125,4500000,1000000,959.232,0,1125000,20481.710705,202.51621700000032,617.2345200384609
19,train,250000,291,7897.45704467354,152,30196,0.0025,4750000,1000000,929.945,64.490823905345863,1187500,21445.363937000002,963.6514029999998,259.42991337086244
19,test,125000,123,8639.056910569105,1384,27244,0.00125,4750000,1000000,946.152,0,1187500,21647.958321000002,202.47604499999943,617.3569816617089
20,train,250000,327,8904.281345565749,1356,27172,0.0025,5000000,1000000,1086.27,67.914990168678386,1250000,22612.39354,964.4333829999996,259.2195629130354
20,test,125000,41,10798.341463414632,2776,29672,0.00125,5000000,1000000,1067.33,0,1250000,22814.423839,201.91272599999866,619.0793541165941
21,train,250000,356,9063.730337078658,1356,31936,0.0025,5250000,1000000,1073.4,64.948052082281947,1312500,23779.652384,965.2266000000018,259.006537946633
21,test,125000,135,11553.066666666658,2872,32008,0.00125,5250000,1000000,1083.41,0,1312500,23983.059743,203.2902549999999,614.8843681660986
22,train,250000,336,9774.80952380953,28,32584,0.0025,5500000,1000000,1170.8,77.969109365326148,1375000,24947.655671,964.5940569999984,259.1763842890859
22,test,125000,121,10643.239669421488,1368,30432,0.00125,5500000,1000000,1174.52,0,1375000,25150.681774,202.909638000001,616.0377655397492
23,train,250000,314,10806.038216560512,1640,34428,0.0025,5750000,1000000,1363.29,83.255930918626063,1437500,26115.753079000002,965.069442,259.04871620626864
23,test,125000,84,13329.285714285717,1992,36128,0.00125,5750000,1000000,1370.37,0,1437500,26319.031311000002,203.16099800000302,615.2755756791377
24,train,250000,326,10440.57668711656,624,36144,0.0025,6000000,1000000,1427.99,92.15853113378563,1500000,27284.890255000002,965.8571169999996,258.8374570107352
24,test,125000,66,11511.454545454544,720,35132,0.00125,6000000,1000000,1435.83,0,1500000,27488.042555,203.0349709999973,615.6574869065372
25,train,250000,301,10070.405315614624,620,36280,0.0025,6250000,1000000,1497.68,80.786402649249041,1562500,28452.635588,964.5911840000008,259.17715623658427
25,test,125000,136,9960.999999999998,732,34384,0.00125,6250000,1000000,1506.57,0,1562500,28655.716238,202.96155599999838,615.8801817621116
26,train,250000,283,10776.692579505288,16,34876,0.0025,6500000,1000000,1515.89,79.572611080272011,1625000,29619.311881,963.5937940000003,259.4454235349713
26,test,125000,64,11706.4375,2548,32352,0.00125,6500000,1000000,1494.85,0,1625000,29821.618402,202.18950299999779,618.2318970337514
27,train,250000,310,9755.896774193538,1032,27400,0.0025,6750000,1000000,1505.34,75.927256213663654,1687500,30785.960435,964.3401760000015,259.24461743051927
27,test,125000,69,10229.797101449278,776,31556,0.00125,6750000,1000000,1504.28,0,1687500,30988.681963,202.6042239999988,616.9664063864766
28,train,250000,267,11704.434456928839,1080,32092,0.0025,7000000,1000000,1372.37,71.851985221917374,1750000,31953.249373000002,964.5655460000016,259.1840451244975
28,test,125000,89,11012.359550561801,1512,26012,0.00125,7000000,1000000,1373.19,0,1750000,32156.27535,202.90811199999735,616.042398541472
29,train,250000,283,11799.053003533567,1312,36200,0.0025,7250000,1000000,1466.73,67.876226325724303,1812500,33182.198639999995,1025.9214769999962,243.68336720179698
29,test,125000,70,12204.514285714284,1400,31988,0.00125,7250000,1000000,1459.28,0,1812500,33397.949566999996,215.617886,579.7292716245256
30,train,250000,288,11303.305555555557,1320,59908,0.0025,7500000,1000000,1573.2,72.133073330520546,1875000,34480.730245,1082.7788379999984,230.88740860670606
30,test,125000,58,11779.310344827585,1452,26532,0.00125,7500000,1000000,1590.69,0,1875000,34704.589283999994,223.72973099999945,558.7098301208806
31,train,250000,204,12050.90196078431,140,35816,0.0025,7750000,1000000,1559.79,65.751661918004388,1937500,35669.022468999996,964.4313079999993,259.2201206309244
31,test,125000,84,9065.285714285714,688,25440,0.00125,7750000,1000000,1531.23,0,1937500,35871.062594999996,201.9201749999993,619.0565157741194
32,train,250000,220,11090.600000000008,744,32868,0.0025,8000000,1000000,1536.78,58.555033018386759,2000000,36835.181484999994,964.117044999999,259.3046158622787
32,test,125000,49,8941.714285714286,1476,27448,0.00125,8000000,1000000,1528.53,0,2000000,37037.198781,201.89867900000536,619.122426254194
33,train,250000,249,10893.18875502008,1168,36176,0.0025,8250000,1000000,1525.25,53.007064328630271,2062500,38001.230231999994,964.0296390000003,259.32812632122807
33,test,125000,100,8952.000000000005,580,22900,0.00125,8250000,1000000,1558.75,0,2062500,38203.946823,202.59801800000423,616.9853053547513
34,train,250000,289,10673.287197231839,292,35572,0.0025,8500000,1000000,1568.3,54.500707523975123,2125000,39168.677984999995,964.7293089999948,259.14004857916194
34,test,125000,68,10031.529411764704,1504,24748,0.00125,8500000,1000000,1549.07,0,2125000,39371.103025,202.3067549999978,617.8735850911224
35,train,250000,294,10700.32653061224,1068,36444,0.0025,8750000,1000000,1614.66,56.928296519000192,2187500,40335.156865,964.0520120000001,259.3221080275075
