epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,381,1025.0183727034125,172,3068,1,0,53799,0.000112875,0,0,5.516979,5.516895,9063.068990800079
1,train,250000,1813,1138.4908990623273,108,3132,0.7506259975,250000,321960,51.9407,141.19074333410481,62500,463.602351,458.040343,545.8034512038604
1,test,125000,40,1783.6999999999998,568,4596,0.00125,250000,447363,52.1868,0,62500,608.9575269999999,145.29223999999994,860.3350048151233
2,train,250000,1679,1341.6438356164376,140,4868,0.5012509975,500000,714080,92.9831,67.275036102187329,125000,1132.4769680000002,523.517993,477.53850553900634
2,test,125000,46,1976.4347826086957,664,6708,0.00125,500000,839553,92.1222,0,125000,1278.763275,146.22359800000004,854.8551787106207
3,train,250000,1394,1756.1377331420372,8,6596,0.2518759974999999,750000,1000000,168.919,60.2658606429112,187500,1866.865013,588.100304,425.0975527467165
3,test,125000,109,2443.119266055044,592,6968,0.00125,750000,1000000,166.309,0,187500,2012.7331370000002,145.804893,857.3100492587722
4,train,250000,1062,2478.828625235408,464,7820,0.0025009974999999907,1000000,1000000,263.82,64.361691829036573,250000,2668.143194,655.4086230000003,381.4414263512061
4,test,125000,72,4337.055555555556,1004,7900,0.00125,1000000,1000000,259.11,0,250000,2815.094553,146.88836899999978,850.9863704729419
5,train,250000,682,3549.9824046920826,336,11520,0.0025,1250000,1000000,367.514,72.664657981645959,312500,3505.224532,690.1284860000001,362.25138517177504
5,test,125000,199,4224.723618090448,452,12116,0.00125,1250000,1000000,368.773,0,312500,3649.288807,144.001346,868.0474417232183
6,train,250000,613,4173.755301794453,832,14280,0.0025,1500000,1000000,418.622,80.1720162940465,375000,4324.203614,674.9133830000001,370.4179029444434
6,test,125000,191,4077.4450261780107,568,12336,0.00125,1500000,1000000,420.62,0,375000,4468.285274,144.01882599999954,867.9420841828027
7,train,250000,653,4233.261868300148,544,12272,0.0025,1750000,1000000,464.173,83.209327984794157,437500,5140.06148,671.7747989999998,372.14852413658355
7,test,125000,104,4179.576923076922,1348,11392,0.00125,1750000,1000000,465.643,0,437500,5282.981524,142.85643299999992,875.0043478966052
8,train,250000,573,4844.781849912739,572,13520,0.0025,2000000,1000000,519.074,92.38825272953855,500000,5953.5358830000005,670.5528910000003,372.8266678966565
8,test,125000,216,5029.944444444446,972,14460,0.00125,2000000,1000000,521.756,0,500000,6096.604067,143.005271,874.0936549115032
9,train,250000,548,5371.2554744525605,560,17628,0.0025,2250000,1000000,589.078,95.734220165781593,562500,6767.639906,671.0343790000006,372.5591531875892
9,test,125000,147,6395.755102040816,1052,15912,0.00125,2250000,1000000,594.735,0,562500,6910.869128,143.16486799999984,873.1192348111559
10,train,250000,517,5794.375241779498,384,15708,0.0025,2500000,1000000,632.747,90.612080979901208,625000,7581.82155,670.9510609999998,372.6054171930136
10,test,125000,109,6176.880733944953,828,15292,0.00125,2500000,1000000,612.923,0,625000,7724.414259,142.52948900000047,877.011493389972
11,train,250000,529,6127.183364839319,1204,21480,0.0025,2750000,1000000,668.638,95.674897335939249,687500,8395.437124,671.0214569999998,372.5663276368226
11,test,125000,105,5957.52380952381,1412,15992,0.00125,2750000,1000000,667.769,0,687500,8537.58671,142.08581599999889,879.7500237462195
12,train,250000,491,6328.03258655804,1212,20948,0.0025,3000000,1000000,797.153,92.906960670238945,750000,9209.252774,671.6646460000011,372.20955649346416
12,test,125000,182,6974.043956043959,1264,18392,0.00125,3000000,1000000,795.891,0,750000,9352.903552,143.58734899999945,870.5502321099367
13,train,250000,491,6882.427698574345,1012,16228,0.0025,3250000,1000000,859.046,106.77820108938832,812500,10026.814592,673.9095990000005,370.9696380211373
13,test,125000,83,6730.55421686747,1592,15672,0.00125,3250000,1000000,846.705,0,812500,10170.7683,143.89078399999926,868.7144271866684
14,train,250000,466,6922.403433476393,1208,25616,0.0025,3500000,1000000,888.616,100.56583442165538,875000,10844.495079,673.7253729999993,371.07107735424455
14,test,125000,87,8743.172413793103,2732,17196,0.00125,3500000,1000000,905.71,0,875000,10988.310995,143.75275200000033,869.548570451018
15,train,250000,425,7613.967058823531,1324,27724,0.0025,3750000,1000000,911.961,100.07277523601931,937500,11662.164403,673.851987,371.0013546342782
15,test,125000,152,7005.1578947368425,1684,26696,0.00125,3750000,1000000,909.915,0,937500,11806.340693,144.11310500000036,867.3742752263903
16,train,250000,364,7472.978021978024,500,23352,0.0025,4000000,1000000,929.168,101.46803403429148,1000000,12478.87576,672.5336370000005,371.7286188318932
16,test,125000,81,8178.074074074074,1988,20692,0.00125,4000000,1000000,917.173,0,1000000,12622.491136,143.55230500000107,870.7627509011372
17,train,250000,419,7492.515513126492,1108,26608,0.0025,4250000,1000000,936.617,82.354518333189347,1062500,13296.38623,673.8936880000001,370.97839681798587
17,test,125000,96,7434.625000000002,2652,16828,0.00125,4250000,1000000,927.602,0,1062500,13439.883335,143.4336199999998,871.4832687064594
18,train,250000,382,8021.612565445026,1400,26284,0.0025,4500000,1000000,949.936,78.315383529272552,1125000,14112.876817,672.9920770000008,371.475398513495
18,test,125000,111,9705.945945945945,2044,27880,0.00125,4500000,1000000,971.443,0,1125000,14256.825567,143.8851969999996,868.7481589923412
19,train,250000,409,8252.93887530563,1268,26416,0.0025,4750000,1000000,933.324,86.769134693293864,1187500,14930.815669,673.9886859999988,370.92610780116337
19,test,125000,72,7510.777777777779,1468,21112,0.00125,4750000,1000000,940.883,0,1187500,15074.008922,143.12999600000148,873.3319604089048
20,train,250000,410,7455.8146341463425,276,25144,0.0025,5000000,1000000,1051.07,79.7595494896254,1250000,15746.394947,672.3846360000007,371.8109942060005
20,test,125000,125,8748.287999999997,1776,23728,0.00125,5000000,1000000,1051.7,0,1250000,15889.709962,143.25200500000028,872.5881358519189
21,train,250000,368,8268.695652173914,1296,30504,0.0025,5250000,1000000,976.876,80.655912931114315,1312500,16562.372945,672.6615710000005,371.6579194918804
21,test,125000,48,9765.249999999998,3088,24268,0.00125,5250000,1000000,983.069,0,1312500,16705.150064999998,142.71365800000058,875.8797283438666
22,train,250000,357,8539.327731092431,88,27288,0.0025,5500000,1000000,968.74,74.488811377457111,1375000,17377.781004999997,672.6295260000006,371.6756257886898
22,test,125000,76,10594.0,1396,30632,0.00125,5500000,1000000,946.777,0,1375000,17521.121102999998,143.27634200000102,872.4399175406021
23,train,250000,414,8365.033816425124,2184,23368,0.0025,5750000,1000000,1051.96,70.538368511545741,1437500,18193.702762999998,672.5802499999991,371.702856276259
23,test,125000,114,8836.596491228069,2412,25736,0.00125,5750000,1000000,1052.19,0,1437500,18337.123840999997,143.3577179999993,871.9446831596512
24,train,250000,378,8153.365079365084,4,26296,0.0025,6000000,1000000,1119.79,74.507243952959982,1500000,19009.309807999998,672.1845600000015,371.9216638954031
24,test,125000,81,7999.061728395061,1600,16172,0.00125,6000000,1000000,1118.97,0,1500000,19152.974525999998,143.6019950000009,870.4614444945505
25,train,250000,358,8818.759776536324,1776,27152,0.0025,6250000,1000000,1124.11,68.364045438640005,1562500,19825.714846,672.7388920000012,371.6152031240072
25,test,125000,71,9774.140845070418,1700,25252,0.00125,6250000,1000000,1146.64,0,1562500,19969.025465,143.2478250000022,872.6135981471139
26,train,250000,336,10111.702380952383,1428,31560,0.0025,6500000,1000000,1173.93,69.743017438449627,1625000,20641.991836999998,672.9649590000008,371.4903675987678
26,test,125000,61,7490.1639344262285,1528,15996,0.00125,6500000,1000000,1207.23,0,1625000,20784.640421999997,142.58549199999834,876.6670314536731
27,train,250000,316,10383.93670886076,388,30368,0.0025,6750000,1000000,1152.81,70.811493750871477,1687500,21457.553505999997,672.9116849999991,371.5197782603527
27,test,125000,55,12444.218181818178,2424,34208,0.00125,6750000,1000000,1179.15,0,1687500,21601.215759,143.59854300000006,870.4823697271075
28,train,250000,356,10409.258426966288,168,35320,0.0025,7000000,1000000,1127.2,66.183603618611713,1750000,22274.899977999998,673.6828219999989,371.0945148605859
28,test,125000,119,12802.655462184877,2040,34724,0.00125,7000000,1000000,1153.49,0,1750000,22418.600519,143.63753700000234,870.246055527936
29,train,250000,333,9642.666666666672,504,33040,0.0025,7250000,1000000,1282.86,73.790871982889144,1812500,23091.255207,672.653291999999,371.66249384831724
29,test,125000,60,9444.4,2156,25540,0.00125,7250000,1000000,1285.56,0,1812500,23234.067333,142.7497250000015,875.658429464566
30,train,250000,263,11631.087452471485,968,34588,0.0025,7500000,1000000,1291.33,69.691056798931726,1875000,23906.257428999998,672.188732999999,371.9193549767523
