epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,371,1070.9757412398922,216,3260,1,0,53725,0.0182815,0,0,3.497109,3.497027000000001,14297.859295910494
1,train,250000,1828,1123.726477024069,132,3188,0.7506259975,250000,321965,44.3157,147.16655368051192,62500,2504.555226,2501.011531,99.95955512449814
1,test,125000,5,1970.4,1372,2436,0.00125,250000,447024,44.4903,0,62500,3102.086562,596.5436170000003,209.54041990864172
2,train,250000,1735,1253.4547550432292,172,4440,0.5012509975,500000,714355,94.9922,67.157935833604569,125000,5885.5389399999995,2783.4472799999994,89.81668228327287
2,test,125000,91,1757.010989010989,376,5152,0.00125,500000,840280,94.6133,0,125000,6482.384785,596.061412,209.7099350561549
3,train,250000,1600,1383.969999999999,4,5440,0.2518759974999999,750000,1000000,135.721,60.845952568090127,187500,9556.657095,3074.2671609999998,81.3201933688417
3,test,125000,27,1453.3333333333335,584,4432,0.00125,750000,1000000,136.112,0,187500,10153.796263,596.3588529999997,209.6053397567321
4,train,250000,1214,1601.8352553542047,240,6664,0.0025009974999999907,1000000,1000000,185.433,57.126846258308468,250000,13518.114326,3364.312946,74.30937728228805
4,test,125000,16,1867.75,608,5196,0.00125,1000000,1000000,187.579,0,250000,14115.190307,596.2966680000009,209.62719852058575
5,train,250000,484,1873.05785123967,280,8740,0.0025,1250000,1000000,223.238,53.117235238406728,312500,17625.650253,3510.4549079999997,71.21584140855173
5,test,125000,23,1436.3478260869565,400,2848,0.00125,1250000,1000000,223.956,0,312500,18222.595932,596.1859949999998,209.66611267009054
6,train,250000,835,1740.479041916166,0,6348,0.0025,1500000,1000000,263.821,47.682046632610188,375000,21733.006486000002,3510.4055240000016,71.21684326519988
6,test,125000,39,1683.4871794871792,596,3172,0.00125,1500000,1000000,261.007,0,375000,22329.659504,595.8929089999983,209.76923556578242
7,train,250000,765,1727.4928104575163,144,7124,0.0025,1750000,1000000,270.428,47.15061201882947,437500,25840.422917,3510.758389999999,71.20968526689188
7,test,125000,21,1453.5238095238094,324,2852,0.00125,1750000,1000000,271.302,0,437500,26437.607309,596.4165799999973,209.58505211240197
8,train,250000,661,1743.3464447806352,304,7276,0.0025,2000000,1000000,287.483,55.634902407600471,500000,29947.828404,3510.216074,71.2206869120502
8,test,125000,17,3026.117647058824,1260,5740,0.00125,2000000,1000000,291.114,0,500000,30544.966844000002,596.3689489999997,209.6017913233106
9,train,250000,226,1737.8230088495584,340,5716,0.0025,2250000,1000000,409.974,52.401245686353903,562500,34054.996644,3510.0247290000007,71.2245694266731
9,test,125000,7,1309.7142857142856,736,1648,0.00125,2250000,1000000,405.406,0,562500,34651.558616999995,595.7993399999978,209.80217937133074
10,train,250000,337,1620.676557863501,108,5356,0.0025,2500000,1000000,390.345,40.412494043832602,625000,38160.778464999996,3509.2148529999977,71.24100702647976
