epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,381,1032.178477690289,156,2992,1,0,56987,3.79937e-07,0,0,3.6718420000000003,3.671767,13617.421802636169
1,train,250000,1844,1063.3036876355768,76,3252,0.7506259975,250000,339642,2.09458,0.19626214636218675,62500,307.513738,303.80442300000004,822.897828580988
1,test,125000,3,848.0,672,1172,0.00125,250000,464719,2.08299,0,62500,401.29934399999996,93.77959699999997,1332.9125310700583
2,train,250000,1729,1063.972238288029,120,3708,0.5012509975,500000,745948,4.87842,0.083516497364967496,125000,747.0748259999999,345.77444799999995,723.014674583473
2,test,125000,7,1492.5714285714287,568,3036,0.00125,500000,871118,4.91404,0,125000,840.610265,93.5299480000001,1336.470324991519
3,train,250000,1763,1077.835507657402,80,4564,0.2518759974999999,750000,1000000,7.52554,0.10242713845070077,187500,1228.900231,388.28887199999997,643.8505402235685
3,test,125000,16,2446.2500000000005,1100,4076,0.00125,750000,1000000,7.55054,0,187500,1321.970389,93.06463899999994,1343.1524727668054
4,train,250000,1293,1584.0123743232823,260,5588,0.0025009974999999907,1000000,1000000,12.5126,0.12270059357246037,250000,1753.72727,431.7558240000001,579.0309848837151
4,test,125000,39,1947.5897435897432,272,5396,0.00125,1000000,1000000,12.5156,0,250000,1846.993392,93.26062700000011,1340.3298264336122
5,train,250000,892,2157.502242152468,284,6976,0.0025,1250000,1000000,17.0511,0.14004652715547095,312500,2296.2988459999997,449.30439999999976,556.4156505033117
5,test,125000,31,2313.935483870968,964,5208,0.00125,1250000,1000000,17.2621,0,312500,2387.354356,91.05007100000012,1372.8709777722177
6,train,250000,790,2791.5645569620287,0,12044,0.0025,1500000,1000000,19.1641,0.13942014545997861,375000,2826.315894,438.9604840000002,569.5273472497809
6,test,125000,109,2543.302752293577,860,6788,0.00125,1500000,1000000,19.3115,0,375000,2916.948309,90.62701800000013,1379.279631599484
7,train,250000,788,3039.4974619289324,76,12204,0.0025,1750000,1000000,23.08,0.15522416716103193,437500,3356.007318,439.0579670000002,569.4008964424506
7,test,125000,203,2857.3990147783234,560,7100,0.00125,1750000,1000000,23.1927,0,437500,3447.360874,91.34808199999998,1368.3921683216079
8,train,250000,623,4036.8603531300164,596,13104,0.0025,2000000,1000000,25.3714,0.17533403732352151,500000,3885.7198209999997,438.35791199999994,570.3102263157053
8,test,125000,193,4022.6528497409336,628,10332,0.00125,2000000,1000000,25.2395,0,500000,3976.9452269999997,91.21990800000003,1370.314909767284
9,train,250000,771,3476.2697795071335,592,14332,0.0025,2250000,1000000,32.6223,0.19041581739058749,562500,4415.843928,438.8976290000005,569.6089098717817
9,test,125000,144,5828.222222222226,652,17264,0.00125,2250000,1000000,31.5636,0,562500,4507.933389,92.08409599999959,1357.454820428498
10,train,250000,656,3921.5853658536575,464,12284,0.0025,2500000,1000000,32.2337,0.19286736349971426,625000,4947.306422,439.3720050000002,568.9939212217216
10,test,125000,45,4086.933333333333,1308,10412,0.00125,2500000,1000000,32.8466,0,625000,5038.940437,91.62862800000039,1364.2024630118817
11,train,250000,473,5060.10147991543,944,14408,0.0025,2750000,1000000,39.9846,0.17647231610824982,687500,5477.32093,438.3794449999996,570.2822129354178
11,test,125000,29,4427.034482758622,1324,9636,0.00125,2750000,1000000,39.9647,0,687500,5569.008594,91.68227999999999,1363.4041387277891
12,train,250000,590,4303.179661016947,704,14124,0.0025,3000000,1000000,40.6848,0.16029770092271742,750000,6008.145875,439.1362509999999,569.299390407193
12,test,125000,158,3339.594936708859,572,6960,0.00125,3000000,1000000,39.824,0,750000,6099.789329,91.63809800000035,1364.0614845585242
13,train,250000,549,4082.921675774139,24,12848,0.0025,3250000,1000000,42.2879,0.15821011819688785,812500,6537.914444,438.12409000000025,570.614594600356
13,test,125000,80,4366.9500000000035,692,12600,0.00125,3250000,1000000,41.5772,0,812500,6628.842541,90.92253299999993,1374.7967184328234
14,train,250000,500,5763.504,988,18764,0.0025,3500000,1000000,46.3385,0.17146927720042768,875000,7067.646158,438.8025639999996,569.7323135969648
14,test,125000,118,7759.966101694916,2048,28924,0.00125,3500000,1000000,45.7357,0,875000,7158.9926049999995,91.3409099999999,1368.4996131525309
15,train,250000,498,5705.060240963858,780,23468,0.0025,3750000,1000000,49.5623,0.18297025598820157,937500,7596.073533,437.07989499999985,571.9778073983479
15,test,125000,56,4840.5714285714275,1424,12160,0.00125,3750000,1000000,49.1189,0,937500,7687.201539,91.12262399999963,1371.7778803209235
16,train,250000,460,6166.313043478262,1252,25504,0.0025,4000000,1000000,53.8755,0.17896065700301533,1000000,8125.225375999999,438.02275699999973,570.7466016428917
