epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,369,1087.6639566395668,128,3016,1,0,53678,4.65502e-05,0,0,5.392779,5.392701,9271.79163094709
1,train,250000,1822,1113.4050493962698,156,4408,0.7506259975,250000,321889,31.4239,145.99920730574348,62500,666.541364,661.11192,378.1507978255784
1,test,125000,79,1740.2531645569625,320,5400,0.00125,250000,447691,31.7846,0,62500,832.227596,165.51239799999996,755.2304329491983
2,train,250000,1702,1329.5229142185678,92,4692,0.5012509975,500000,714698,87.7037,61.154630617767374,125000,1572.291218,740.062055,337.8095097714475
2,test,125000,51,2016.0784313725483,656,5660,0.00125,500000,840226,86.3356,0,125000,1737.801991,165.3346019999999,756.042585689353
3,train,250000,1396,1837.1002865329515,20,6080,0.2518759974999999,750000,1000000,154.69,54.251744486015298,187500,2554.533302,816.729742,306.0988074069672
3,test,125000,76,2627.0526315789466,540,6320,0.00125,750000,1000000,153.669,0,187500,2722.2813229999997,167.5731179999998,745.9430336553155
4,train,250000,1066,2528.300187617258,220,10432,0.0025009974999999907,1000000,1000000,226.081,62.304358376403997,250000,3615.4271049999998,893.1441970000001,279.9100087530435
4,test,125000,83,3056.771084337349,980,6848,0.00125,1000000,1000000,224.433,0,250000,3782.1924719999997,166.59127099999978,750.3394340511404
5,train,250000,798,3197.614035087718,0,10292,0.0025,1250000,1000000,310.286,75.190465885918456,312500,4712.003191,929.8091129999998,268.8723916604591
5,test,125000,23,4208.173913043479,1624,7060,0.00125,1250000,1000000,307.166,0,312500,4878.155654,166.007474,752.978146032148
6,train,250000,729,3700.060356652948,704,13616,0.0025,1500000,1000000,407.158,76.297652338568767,375000,5805.909574,927.7523470000006,269.46846408786274
6,test,125000,75,3879.84,1208,11464,0.00125,1500000,1000000,404.819,0,375000,5971.3703479999995,165.31460699999934,756.1340299469151
7,train,250000,586,4626.027303754268,632,16044,0.0025,1750000,1000000,449.476,73.797315993132869,437500,6897.595904,926.2238879999995,269.9131422099536
7,test,125000,126,4106.063492063494,912,10652,0.00125,1750000,1000000,447.44,0,437500,7064.468903,166.72805700000026,749.723845219403
