epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
12,test,125000,84,7180.000000000002,2336,15260,0.00125,3000000,1000000,778.984,0,750000,7058.498516,105.04138799999964,1190.0071236682481
13,train,250000,458,6805.8340611353715,380,16348,0.0025,3250000,1000000,835.403,79.860821299194342,812500,7564.250807,505.75116400000024,494.31423552788874
13,test,125000,124,6527.967741935487,1372,16256,0.00125,3250000,1000000,832.094,0,812500,7669.696922,105.41287900000043,1185.8133577776534
14,train,250000,475,5915.301052631582,600,31388,0.0025,3500000,1000000,904.606,82.336192851828059,875000,8174.885414,505.18734399999994,494.8659204732572
14,test,125000,101,5939.168316831686,1276,13924,0.00125,3500000,1000000,903.989,0,875000,8280.185324,105.26685400000042,1187.4583047765395
15,train,250000,453,6334.233995584987,568,26152,0.0025,3750000,1000000,953.69,85.915458865083323,937500,8785.265437,505.07896299999993,494.9721099352143
15,test,125000,117,7376.649572649573,1264,15568,0.00125,3750000,1000000,956.724,0,937500,8890.591645,105.2932120000005,1187.1610489002787
16,train,250000,366,7472.426229508199,12,16548,0.0025,4000000,1000000,998.89,86.971238458942537,1000000,9395.240026,504.64725499999986,495.3955411884685
16,test,125000,52,7874.230769230768,3076,17884,0.00125,4000000,1000000,994.993,0,1000000,9500.674482,105.40173099999993,1185.9387774191307
17,train,250000,410,7717.785365853661,1412,25824,0.0025,4250000,1000000,1029.12,85.881800951870446,1062500,10005.949322,505.27372300000025,494.7813207377101
17,test,125000,89,9992.269662921346,1472,23940,0.00125,4250000,1000000,1028.26,0,1062500,10111.192273,105.21059700000114,1188.0932488197805
18,train,250000,345,8687.779710144925,1264,32040,0.0025,4500000,1000000,1194.48,92.166641278284132,1125000,10616.415515,505.22212500000023,494.83185242530675
18,test,125000,88,10205.318181818184,1780,23132,0.00125,4500000,1000000,1212.84,0,1125000,10721.591198,105.14309099999991,1188.8560514166365
19,train,250000,329,9355.404255319147,1172,25796,0.0025,4750000,1000000,1219.05,92.910480772832088,1187500,11226.728886,505.1365800000003,494.9156523172403
19,test,125000,90,11032.933333333334,2412,26028,0.00125,4750000,1000000,1202.5,0,1187500,11331.906337,105.14478100000088,1188.8369428435917
20,train,250000,345,9301.92463768116,1368,34928,0.0025,5000000,1000000,1238.18,92.068199820858354,1250000,11838.571601,506.6641120000004,493.42354052500923
